Maturity,Price/Vols
0.75,0.31
1.00,0.31
1.25,0.34
1.50,0.35
1.75,0.35
2.00,0.35
2.25,0.33
2.50,0.30
2.75,0.29
3.00,0.29
3.25,0.28
3.50,0.27
3.75,0.26
4.00,0.26
4.25,0.25
4.50,0.25
4.75,0.24
5.00,0.23
5.25,0.23
5.50,0.21
5.75,0.21
6.00,0.20
6.25,0.21
6.50,0.21
6.75,0.22
7.00,0.22
7.25,0.21
7.50,0.19
7.75,0.19
8.00,0.18
8.25,0.18
8.50,0.18
8.75,0.18
9.00,0.17
9.25,0.17
9.50,0.17
9.75,0.17
10.00,0.16
